candidate,state,candidatevotes,totalvotes
"Atwood, Frank",Colorado,337,2780220
Blank Vote,District of Columbia,1064,312575
Blank Vote,Hawaii,8289,437664
Blank Vote,Maine,23965,771892
Blank Vote,Massachusetts,53775,3378821
Blank Vote,New York,77179,7802084
Blank Vote,Vermont,4574,320467
Blank Vote,Wyoming,2661,258788
"Castle, Darrell L.",Alaska,3866,318608
"Castle, Darrell L.",Arizona,1058,2573165
"Castle, Darrell L.",Arkansas,4613,1130635
"Castle, Darrell L.",Colorado,11699,2780220
"Castle, Darrell L.",Florida,16475,9420039
"Castle, Darrell L.",Hawaii,4508,437664
"Castle, Darrell L.",Idaho,2356,690255
"Castle, Darrell L.",Indiana,1937,2734958
"Castle, Darrell L.",Iowa,5335,1565580
"Castle, Darrell L.",Michigan,16139,4799284
"Castle, Darrell L.",Minnesota,9456,2944782
"Castle, Darrell L.",Mississippi,3987,1209357
"Castle, Darrell L.",Missouri,13092,2808605
"Castle, Darrell L.",New Jersey,6161,3874046
"Castle, Darrell L.",New Mexico,1514,798319
"Castle, Darrell L.",North Dakota,1833,344360
"Castle, Darrell L.",Pennsylvania,21572,6115402
"Castle, Darrell L.",South Carolina,5765,2103027
"Castle, Darrell L.",South Dakota,4064,370093
"Castle, Darrell L.",Utah,8032,1131317
"Castle, Darrell L.",Washington,17623,3317019
"Castle, Darrell L.",West Virginia,3807,713051
"Castle, Darrell L.",Wisconsin,12162,2976150
"Castle, Darrell L.",Wyoming,2042,258788
"Clinton, Hillary",Alabama,729547,2123372
"Clinton, Hillary",Alaska,116454,318608
"Clinton, Hillary",Arizona,1161167,2573165
"Clinton, Hillary",Arkansas,380494,1130635
"Clinton, Hillary",California,8753788,14181595
"Clinton, Hillary",Colorado,1338870,2780220
"Clinton, Hillary",Connecticut,897572,1644920
"Clinton, Hillary",Delaware,235603,441590
"Clinton, Hillary",District of Columbia,282830,312575
"Clinton, Hillary",Florida,4504975,9420039
"Clinton, Hillary",Georgia,1877963,4114732
"Clinton, Hillary",Hawaii,266891,437664
"Clinton, Hillary",Idaho,189765,690255
"Clinton, Hillary",Illinois,3090729,5536424
"Clinton, Hillary",Indiana,1033126,2734958
"Clinton, Hillary",Iowa,653669,1565580
"Clinton, Hillary",Kansas,427005,1184402
"Clinton, Hillary",Kentucky,628854,1924149
"Clinton, Hillary",Louisiana,780154,2029032
"Clinton, Hillary",Maine,357735,771892
"Clinton, Hillary",Maryland,1678006,2781446
"Clinton, Hillary",Massachusetts,1995196,3378821
"Clinton, Hillary",Michigan,2268839,4799284
"Clinton, Hillary",Minnesota,1367705,2944782
"Clinton, Hillary",Mississippi,485131,1209357
"Clinton, Hillary",Missouri,1071068,2808605
"Clinton, Hillary",Montana,177709,494526
"Clinton, Hillary",Nebraska,284494,844227
"Clinton, Hillary",Nevada,539260,1125385
"Clinton, Hillary",New Hampshire,348526,744296
